# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.12860, 0.00017
1.156, 0.029, 0.12894, 0.00015
1.185, 0.028, 0.12851, 0.00013
1.212, 0.027, 0.12846, 0.00013
1.239, 0.026, 0.12866, 0.00015
1.266, 0.027, 0.12875, 0.00016
1.292, 0.027, 0.12847, 0.00013
1.319, 0.026, 0.12848, 0.00015
1.345, 0.026, 0.12875, 0.00021
1.372, 0.027, 0.12897, 0.00014
1.400, 0.028, 0.12899, 0.00016
1.428, 0.028, 0.12874, 0.00016
1.457, 0.029, 0.12863, 0.00012
1.487, 0.031, 0.12864, 0.00017
1.519, 0.032, 0.12860, 0.00016
1.551, 0.034, 0.12833, 0.00014
1.586, 0.036, 0.12806, 0.00015
1.624, 0.039, 0.12794, 0.00015
