# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.12131, 0.00027
1.156, 0.029, 0.12075, 0.00033
1.185, 0.028, 0.12119, 0.00028
1.212, 0.027, 0.12100, 0.00031
1.239, 0.026, 0.12109, 0.00029
1.266, 0.027, 0.12149, 0.00035
1.292, 0.027, 0.12150, 0.00030
1.319, 0.026, 0.12140, 0.00027
1.345, 0.026, 0.12182, 0.00027
1.372, 0.027, 0.12190, 0.00034
1.400, 0.028, 0.12111, 0.00025
1.428, 0.028, 0.12129, 0.00029
1.457, 0.029, 0.12101, 0.00028
1.487, 0.031, 0.12070, 0.00035
1.519, 0.032, 0.12109, 0.00029
1.551, 0.034, 0.12084, 0.00036
1.586, 0.036, 0.12050, 0.00036
1.624, 0.039, 0.12100, 0.00030
