# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.07852, 0.00032
1.156, 0.029, 0.07846, 0.00037
1.185, 0.028, 0.07817, 0.00037
1.212, 0.027, 0.07843, 0.00030
1.239, 0.026, 0.07836, 0.00029
1.266, 0.027, 0.07860, 0.00029
1.292, 0.027, 0.07861, 0.00026
1.319, 0.026, 0.07880, 0.00028
1.345, 0.026, 0.07922, 0.00029
1.372, 0.027, 0.07888, 0.00030
1.400, 0.028, 0.07906, 0.00033
1.428, 0.028, 0.07856, 0.00025
1.457, 0.029, 0.07868, 0.00030
1.487, 0.031, 0.07806, 0.00036
1.519, 0.032, 0.07885, 0.00036
1.551, 0.034, 0.07859, 0.00029
1.586, 0.036, 0.07852, 0.00037
1.624, 0.039, 0.07775, 0.00036
