# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.17083, 0.00017
1.156, 0.029, 0.17115, 0.00018
1.185, 0.028, 0.17115, 0.00016
1.212, 0.027, 0.17103, 0.00018
1.239, 0.026, 0.17128, 0.00014
1.266, 0.027, 0.17121, 0.00013
1.292, 0.027, 0.17114, 0.00016
1.319, 0.026, 0.17122, 0.00015
1.345, 0.026, 0.17141, 0.00014
1.372, 0.027, 0.17160, 0.00017
1.428, 0.028, 0.17138, 0.00017
1.457, 0.029, 0.17113, 0.00013
1.487, 0.031, 0.17115, 0.00014
1.519, 0.032, 0.17094, 0.00015
1.551, 0.034, 0.17100, 0.00010
1.586, 0.036, 0.17103, 0.00016
1.624, 0.039, 0.17121, 0.00015
