# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.09347, 0.00063
1.156, 0.029, 0.09260, 0.00063
1.185, 0.028, 0.09308, 0.00051
1.212, 0.027, 0.09289, 0.00041
1.239, 0.026, 0.09338, 0.00043
1.266, 0.027, 0.09285, 0.00041
1.292, 0.027, 0.09303, 0.00048
1.319, 0.026, 0.09233, 0.00058
1.345, 0.026, 0.09356, 0.00051
1.372, 0.027, 0.09321, 0.00047
1.400, 0.028, 0.09391, 0.00041
1.428, 0.028, 0.09379, 0.00046
1.457, 0.029, 0.09329, 0.00047
1.487, 0.031, 0.09446, 0.00050
1.519, 0.032, 0.09413, 0.00048
1.551, 0.034, 0.09349, 0.00041
1.586, 0.036, 0.09281, 0.00045
1.624, 0.039, 0.09324, 0.00041
