# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.10460, 0.00023
1.156, 0.029, 0.10452, 0.00022
1.185, 0.028, 0.10446, 0.00015
1.212, 0.027, 0.10425, 0.00020
1.239, 0.026, 0.10426, 0.00018
1.266, 0.027, 0.10410, 0.00018
1.292, 0.027, 0.10354, 0.00021
1.319, 0.026, 0.10357, 0.00015
1.345, 0.026, 0.10450, 0.00018
1.372, 0.027, 0.10454, 0.00016
1.400, 0.028, 0.10421, 0.00018
1.428, 0.028, 0.10454, 0.00017
1.457, 0.029, 0.10411, 0.00019
1.487, 0.031, 0.10401, 0.00019
1.519, 0.032, 0.10426, 0.00019
1.551, 0.034, 0.10345, 0.00021
1.586, 0.036, 0.10311, 0.00020
1.624, 0.039, 0.10282, 0.00019
