# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.09577, 0.00036
1.156, 0.029, 0.09575, 0.00032
1.185, 0.028, 0.09547, 0.00032
1.212, 0.027, 0.09562, 0.00045
1.239, 0.026, 0.09590, 0.00037
1.266, 0.027, 0.09628, 0.00032
1.292, 0.027, 0.09535, 0.00031
1.319, 0.026, 0.09549, 0.00028
1.345, 0.026, 0.09611, 0.00032
1.372, 0.027, 0.09630, 0.00029
1.400, 0.028, 0.09604, 0.00031
1.428, 0.028, 0.09615, 0.00038
1.457, 0.029, 0.09534, 0.00029
1.487, 0.031, 0.09584, 0.00038
1.519, 0.032, 0.09538, 0.00033
1.551, 0.034, 0.09551, 0.00029
1.586, 0.036, 0.09572, 0.00028
1.624, 0.039, 0.09541, 0.00031
