# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.15939, 0.00016
1.156, 0.029, 0.15956, 0.00015
1.185, 0.028, 0.15928, 0.00014
1.212, 0.027, 0.15910, 0.00015
1.239, 0.026, 0.15933, 0.00014
1.266, 0.027, 0.15940, 0.00015
1.292, 0.027, 0.15924, 0.00014
1.319, 0.026, 0.15918, 0.00011
1.345, 0.026, 0.15968, 0.00013
1.372, 0.027, 0.15956, 0.00012
1.400, 0.028, 0.15947, 0.00014
1.428, 0.028, 0.15932, 0.00012
1.457, 0.029, 0.15913, 0.00014
1.487, 0.031, 0.15920, 0.00013
1.519, 0.032, 0.15946, 0.00013
1.551, 0.034, 0.15918, 0.00013
1.586, 0.036, 0.15909, 0.00014
1.624, 0.039, 0.15900, 0.00013
