# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.09821, 0.00038
1.156, 0.029, 0.09848, 0.00030
1.185, 0.028, 0.09801, 0.00027
1.212, 0.027, 0.09797, 0.00027
1.239, 0.026, 0.09780, 0.00028
1.266, 0.027, 0.09819, 0.00029
1.292, 0.027, 0.09781, 0.00030
1.319, 0.026, 0.09801, 0.00037
1.345, 0.026, 0.09757, 0.00029
1.372, 0.027, 0.09800, 0.00031
1.400, 0.028, 0.09768, 0.00029
1.428, 0.028, 0.09770, 0.00035
1.457, 0.029, 0.09761, 0.00027
1.487, 0.031, 0.09772, 0.00029
1.519, 0.032, 0.09751, 0.00042
1.551, 0.034, 0.09779, 0.00025
1.586, 0.036, 0.09740, 0.00026
1.624, 0.039, 0.09759, 0.00032
